Bedroom,Bathroom,Floor,Parking,Property Face,Build Year(In B.S.),Area Covered(Sq.Feet),Posted Date(Moth Ago),Price(NRS.),District,Location,Road Distance(Feet),Type of Road
6,5,4.0,2,South,2077.0,1540.12,8,27500000,Kathmandu,Sitapaila,12,Concrete
4,4,2.5,2,West,2074.0,1219.26,2,37400000,Kathmandu,Sitapaila,20,Blacktopped
8,0,3.0,0,South,,1069.53,48,19000000,Kathmandu,Banasthali,10,Blacktopped
5,2,4.0,1,East,2076.0,1369.0,48,20000000,Lalitpur,Tikathali,15,Gravelled
2,1,1.5,1,West,2077.0,941.18,36,11300000,Lalitpur,Imadol,13,Gravelled
4,3,3.0,0,South East,,1090.92,48,19000000,Lalitpur,Imadol,10,Gravelled
4,3,2.5,1,South East,,2053.5,3,55000000,Kathmandu,Boudha,20,Blacktopped
5,6,2.5,0,East,,1540.12,1,46000000,Kathmandu,Sanobharyang,16,Concrete
6,4,2.5,1,West,2077.0,1090.92,1,27500000,Kathmandu,Swayambhu,12,Concrete
6,5,2.5,1,South,2080.0,1411.78,2,37000000,Kathmandu,Kapan,13,Concrete
3,1,1.0,0,North,,855.62,48,7500000,Kathmandu,Kadaghari,4,Soil Stabilized
5,3,2.5,1,North East,,2053.5,8,60000000,Kathmandu,Budhanilkantha,14,Blacktopped
6,4,2.5,2,East,2076.0,1197.87,36,24500000,Kathmandu,Budhanilkantha,13,Gravelled
6,4,2.5,2,West,2077.0,1112.31,36,21000000,Kathmandu,Kadaghari,13,Blacktopped
5,3,2.5,1,South,2076.0,1112.31,48,21500000,Lalitpur,Imadol,20,Blacktopped
4,4,2.5,2,East,2074.0,1390.39,2,34650000,Kathmandu,Sitapaila,20,Blacktopped
5,4,2.5,1,East,2076.0,1197.87,36,28700000,Lalitpur,Imadol,13,Blacktopped
6,4,2.5,1,East,2080.0,1369.0,1,32500000,Kathmandu,Sitapaila,14,Concrete
6,6,3.0,3,South,,1411.78,1,41000000,Lalitpur,Imadol,13,Paved
4,0,2.0,2,East,,1026.75,24,26000000,Kathmandu,Halchowk,13,Paved
4,3,2.5,1,South,2076.0,1155.09,48,17000000,Lalitpur,Imadol,13,Gravelled
6,4,2.5,1,South East,2065.0,1369.0,48,32500000,Kathmandu,Sukedhara,12,Concrete
5,4,3.0,2,West,2078.0,1454.56,12,42500000,Kathmandu,Budhanilkantha,13,Gravelled
6,4,2.5,1,East,2080.0,1369.0,1,40000000,Kathmandu,Budhanilkantha,20,Concrete
6,3,1.5,10,East,,71188.0,1,260000000,Kathmandu,Tarkeshwor,15,Gravelled
3,4,2.0,2,West,2077.0,3764.75,36,110000000,Kathmandu,Budhanilkantha,14,Concrete
2,1,1.5,1,West,2076.0,1026.75,48,12000000,Lalitpur,Imadol,13,Gravelled
4,4,3.0,1,East,2078.0,1112.31,24,21000000,Lalitpur,Imadol,13,Soil Stabilized
4,4,2.5,2,East,2074.0,1326.21,2,34650000,Kathmandu,Sitapaila,20,Blacktopped
6,3,2.5,1,South,2076.0,1197.87,48,22500000,Lalitpur,Imadol,20,Blacktopped
5,4,3.0,3,North,,1048.14,48,20000000,Lalitpur,Satdobato,16,
5,4,2.5,2,West,2077.0,1026.75,36,21000000,Lalitpur,Imadol,12,Gravelled
4,5,2.5,1,East,2078.0,1454.56,2,46500000,Kathmandu,Budhanilkantha,16,Concrete
7,6,4.0,2,South East,,2738.0,12,50000000,Kathmandu,Gurujudhara,13,Concrete
4,3,2.5,1,North East,,1903.76,5,54000000,Kathmandu,Budhanilkantha,20,Blacktopped
2,1,1.0,0,North East,,1048.14,48,12000000,Lalitpur,Imadol,12,Soil Stabilized
4,5,2.5,1,East,2079.0,1133.7,1,22000000,Kathmandu,Sitapaila,20,Gravelled
6,5,2.5,1,South,2080.0,1497.34,2,35000000,Kathmandu,Kapan,13,Concrete
4,5,2.0,3,East,2078.0,1711.25,24,26000000,Kathmandu,Hattigauda,22,Gravelled
6,0,3.0,4,North,2042.0,2224.62,48,42500000,Kathmandu,Shantinagar,10,Blacktopped
10,3,3.0,0,South,,1112.31,48,22000000,Kathmandu,Boudha,20,
5,4,3.0,1,South,2080.0,1026.75,1,26500000,Lalitpur,Imadol,13,Gravelled
7,5,3.0,2,East,2064.0,2053.5,12,55100000,Kathmandu,Sinamangal,13,Blacktopped
4,4,2.5,2,South,2074.0,1197.87,2,35750000,Kathmandu,Sitapaila,20,Blacktopped
5,4,2.5,1,East,2077.0,1411.78,36,23500000,Lalitpur,Imadol,13,Gravelled
