Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
8,0,,0,West,,0-3-2-0 Aana,N/A Aana,4 years ago,18500000,Kathmandu,Naikap,12 Feet,
5,3,2.5,1,West,2077.0,0-3-1-0 Aana,N/A Aana,3 years ago,25000000,Lalitpur,Imadol,20 Feet,Gravelled
5,3,3.0,2,North,2066.0,0-3-1-2 Aana,1842.62 Aana,2 years ago,29500000,Kathmandu,Koteshwor,26 Feet,Blacktopped
0,0,3.0,0,West,,2.5 Aana,67.30 Aana,3 years ago,11000000,Kathmandu,Kapan,12 Feet,
12,0,4.0,4,East,,7 Aana,N/A Aana,4 years ago,40000000,Kathmandu,Dhumbarahi,13 Feet,
4,5,2.5,2,South East,2080.0,0-8-1-1 Aana,3246 Sq. Feet,2 months ago,64300000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
8,3,4.0,1,South West,,4 Aana,N/A Aana,4 years ago,31000000,Kathmandu,Chundevi,14 Feet,Gravelled
6,3,3.0,2,East,2019.0,5 Aana,4 Aana,4 years ago,27800000,Kathmandu,Mandikatar,13 Feet,Gravelled
6,3,2.5,2,South,2069.0,0-5-2-0 Aana,900 Aana,2 years ago,32500000,Kathmandu,Basundhara,15 Feet,Gravelled
5,6,2.0,3,West,,0-5-0-0 Aana,1711.476 Sq. Feet,1 week ago,43000000,Kathmandu,Budhanilkantha,13 Feet,Gravelled
2,1,1.0,1,West,2076.0,0-3-0-0 Aana,N/A Aana,4 years ago,12500000,Lalitpur,Imadol,20 Feet,Gravelled
10,0,3.0,3,West,,6 Aana,N/A Aana,4 years ago,29800000,Kathmandu,Budhanilkantha,13 Feet,
10,6,5.0,4,West,,4.2 Aana,N/A Aana,4 years ago,30000000,Kathmandu,Gongabu,10 Feet,
5,3,3.0,0,East,,4.3 Aana,N/A Aana,4 years ago,26000000,Kathmandu,Basundhara,12 Feet,Blacktopped
0,0,3.0,3,East,,9 Aana,N/A Aana,4 years ago,60000000,Kathmandu,Tokha,13 Feet,
10,3,3.0,2,South,2076.0,0-4-1-0 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Budhanilkantha,13 Feet,Blacktopped
3,4,,1,North,2018.0,3.5 Aana,3 Aana,4 years ago,27000000,Kathmandu,Tahachal,0 Feet,
8,0,3.0,0,West,,0-2-2-0 Aana,N/A Aana,4 years ago,14000000,Kathmandu,Gothatar,13 Feet,Gravelled
6,3,3.5,1,South,2077.0,0-3-0-1 Aana,N/A Aana,3 years ago,19000000,Kathmandu,Kadaghari,13 Feet,Gravelled
4,5,2.5,1,South West,2076.0,0-4-0-0 Aana,N/A Aana,4 years ago,21000000,Lalitpur,Imadol,20 Feet,Gravelled
10,0,3.0,0,East,,5.1 Aana,N/A Aana,4 years ago,31800000,Kathmandu,Sukedhara,14 Feet,Blacktopped
5,4,2.0,3,East,2078.0,0-8-1-0 Aana,0 Aana,1 month ago,70000000,Kathmandu,Baneshwor,13 Feet,Paved
0,0,,0,East,,0-3-2-0 Aana,N/A Aana,4 years ago,22000000,Bhaktapur,Radhe Radhe,20 Feet,Blacktopped
0,0,,0,North,,6 Dhur,N/A Dhur,4 years ago,5000000,Chitwan,Bharatpur,20 Feet,Gravelled
4,4,2.5,0,North West,,4.2 Aana,N/A Aana,4 years ago,25500000,Lalitpur,Nakkhu,14 Feet,Gravelled
4,5,2.5,2,South West,2080.0,0-7-0-2 Aana,58300000 Sq. Feet,2 months ago,58300000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
5,4,3.0,2,South East,2076.0,0-5-1-0 Aana,N/A Aana,4 years ago,32000000,Kathmandu,Budhanilkantha,13 Feet,Blacktopped
6,0,,1,North East,2018.0,4 Aana,2250 Aana,4 years ago,25000000,Kathmandu,Banasthali,16 Feet,Gravelled
4,4,3.0,4,North East,2009.0,18 Aana,12 Aana,4 years ago,115000000,Kathmandu,Basbari,13 Feet,Paved
0,0,,0,East,,9 Aana,N/A Aana,4 years ago,49500000,Lalitpur,Hattiban,16 Feet,Blacktopped
7,4,2.0,1,South East,2076.0,0-7-0-0 Aana,1000 Aana,4 years ago,50000000,Kathmandu,Mid Baneshwor,10 Feet,Concrete
6,4,2.5,1,West,,0-3-1-2 Aana,N/A Sq. Feet,2 weeks ago,25000000,Kathmandu,Sitapaila,13 Feet,Gravelled
4,4,2.5,1,East,,0-4-0-2 Aana,N/A Aana,1 week ago,39000000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
0,0,3.0,0,East,,3.5 Aana,N/A Aana,4 years ago,26500000,Kathmandu,Basundhara,12 Feet,
9,6,5.5,31,North,2075.0,0-14-2-0 Aana,24000 Aana,4 years ago,155000000,Kathmandu,Thulo Bharyang,20 Feet,Blacktopped
0,0,,0,South,,6 Aana,N/A Aana,4 years ago,32000000,Kathmandu,Baneshwor,12 Feet,Blacktopped
6,6,4.0,2,South,2075.0,6 Aana,N/A Aana,4 years ago,42500000,Kathmandu,Basundhara,15 Feet,Blacktopped
5,3,2.5,1,East,2076.0,0-3-1-0 Aana,1900 Aana,4 years ago,19500000,Lalitpur,Imadol,20 Feet,Gravelled
0,0,,0,South,,4 Aana,N/A Aana,4 years ago,20000000,Kathmandu,Jorpati,15 Feet,
5,5,4.0,0,East,2013.0,0-3-2-1 Aana,N/A Aana,3 years ago,17000000,Lalitpur,Lubhu,13 Feet,Gravelled
4,3,2.5,1,East,,0-4-0-0 Aana,N/A Aana,10 months ago,39500000,Kathmandu,Budhanilkantha,16 Feet,Gravelled
4,4,2.5,1,North East,2077.0,0-3-2-0 Sq. Feet,N/A Sq. Feet,3 years ago,21400000,Lalitpur,Imadol,13 Feet,Gravelled
2,1,1.5,1,South,2076.0,0-3-1-0 Aana,N/A Aana,4 years ago,12500000,Lalitpur,Imadol,13 Feet,Gravelled
6,4,3.0,1,South,2019.0,0-4-2-3 Aana,2548 Aana,4 years ago,25000000,Kathmandu,Kirtipur,12 Feet,Gravelled
18,0,4.0,0,North,,0-4-1-0 Aana,N/A Aana,4 years ago,29000000,Kathmandu,Kapan,32 Feet,Gravelled
5,3,3.0,0,West,,0-3-1-2 Aana,N/A Aana,4 years ago,27000000,Lalitpur,Ekantakuna,22 Feet,Blacktopped
6,3,,1,West,,0-3-2-0 Aana,N/A Aana,8 months ago,26000000,Kathmandu,Ramkot,16 Feet,Concrete
0,0,2.0,0,East,,21 Dhur,N/A Dhur,4 years ago,19000000,Jhapa,Damak,15 Feet,Gravelled
5,3,2.5,2,East,2076.0,0-3-2-0 Aana,2200 Aana,4 years ago,22000000,Lalitpur,Imadol,20 Feet,Gravelled
0,2,,0,East,,2-2 Aana,N/A Aana,4 years ago,13500000,Kathmandu,Bafal,12 Feet,
6,3,2.5,1,South East,2076.0,0-3-0-0 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Goldhunga,10 Feet,Gravelled
0,0,3.0,0,South,,4 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Jorpati,15 Feet,Blacktopped
5,6,3.0,5,North,2074.0,0-5-3-0 Aana,N/A Aana,4 years ago,39500000,Kathmandu,Banasthali,20 Feet,Blacktopped
6,4,3.0,8,West,,0-6-2-0 Aana,N/A Aana,4 years ago,35000000,Kathmandu,Dhapasi,32 Feet,Blacktopped
6,6,3.0,1,West,2080.0,0-3-3-2 Aana,N/A Aana,2 months ago,37500000,Kathmandu,Thulo Bharyang,11 Feet,Concrete
2,1,1.5,1,West,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,13500000,Lalitpur,Imadol,13 Feet,Gravelled
6,2,3.0,1,East,2007.0,11 Aana,4 Aana,4 years ago,17500000,Kathmandu,Mulpani,20 Feet,Gravelled
6,3,3.0,2,North,2076.0,0-4-0-0 Aana,N/A Aana,2 years ago,30000000,Kathmandu,Koteshwor,15 Feet,Concrete
0,0,3.0,2,North,2016.0,0-5-1-0 Aana,2300 Aana,4 years ago,33000000,Lalitpur,Nakkhu,13 Feet,Soil Stabilized
0,0,,0,East,,0-3-3-0 Aana,N/A Aana,2 years ago,15700000,Kathmandu,Mandikatar,13 Feet,
6,3,3.0,3,West,,4 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Samakhusi,13 Feet,Blacktopped
2,1,1.5,1,East,2076.0,0-3-0-0 Aana,N/A Aana,4 years ago,11000000,Lalitpur,Tikathali,13 Feet,Gravelled
4,3,2.5,2,North West,2076.0,0-3-2-0 Aana,1195 Aana,4 years ago,19000000,Lalitpur,Imadol,13 Feet,Gravelled
4,3,,0,North West,,5.5 Aana,N/A Aana,4 years ago,32500000,Kathmandu,Basundhara,16 Feet,Gravelled
5,3,2.5,1,West,2076.0,0-3-2-0 Aana,2100 Aana,4 years ago,22000000,Lalitpur,Imadol,20 Feet,Gravelled
6,3,3.0,1,South West,2076.0,0-3-0-1 Aana,N/A Aana,3 years ago,18500000,Kathmandu,Kageshwari-Manohara,13 Feet,Gravelled
10,0,3.0,0,North,,5 Aana,N/A Aana,4 years ago,22000000,Kathmandu,Budhanilkantha,15 Feet,Blacktopped
7,3,3.0,0,South East,,0-4-2-0 Aana,N/A Aana,4 years ago,24500000,Kathmandu,Tokha,10 Feet,Gravelled
11,7,3.5,1,South,,0-12-2-0 Aana,N/A Aana,5 days ago,110000000,Kathmandu,Chabahil,12 Feet,Concrete
0,0,,0,North,,10 Sq. Feet,N/A Sq. Feet,4 years ago,25000000,Kathmandu,Goldhunga,15 Feet,
10,3,3.0,1,South,,0-3-3-0 Aana,N/A Aana,4 years ago,22000000,Lalitpur,Imadol,13 Feet,Blacktopped
