Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
6,5,3.0,3,West,2019.0,0-8-3-3-1 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 5,75,00,000",Lalitpur,Nakhipot
4,4,2.5,1,East,,0-4-0-2 Aana,20 Feet / Blacktopped,N/A Aana,1 week ago,"NPR. 3,90,00,000 Total Price",Kathmandu,Budhanilkantha
5,4,2.5,5,South,,0-15-0-0 Aana,20 Feet / Blacktopped,N/A Aana,9 months ago,"NPR. 11,50,00,000 Total Price",Kathmandu,Sanobharyang
0,0,2.0,0,South East,,4.5 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 2,70,00,000",Pokhara,Pokhara
0,0,2.0,0,East,,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price",Lalitpur,Harisiddhi
6,3,3.0,3,South,,4 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,65,00,000",Kathmandu,Tarkeshwor
8,0,,0,West,,0-3-2-0 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,85,00,000",Kathmandu,Naikap
5,3,2.5,1,West,2077.0,0-3-1-0 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,50,00,000 Total price",Lalitpur,Imadol
5,3,3.0,2,North,2066.0,0-3-1-2 Aana,26 Feet / Blacktopped,1842.62 Aana,2 years ago,"NPR. 2,95,00,000",Kathmandu,Koteshwor
0,0,3.0,0,West,,2.5 Aana,12 Feet,67.30 Aana,3 years ago,"NPR. 1,10,00,000 Onwards",Kathmandu,Kapan
12,0,4.0,4,East,,7 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 4,00,00,000",Kathmandu,Dhumbarahi
4,5,2.5,2,South East,2080.0,0-8-1-1 Aana,20 Feet / Blacktopped,3246 Sq. Feet,2 months ago,"NPR. 6,43,00,000",Kathmandu,Budhanilkantha
8,3,4.0,1,South West,,4 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,10,00,000",Kathmandu,Chundevi
6,3,3.0,2,East,2019.0,5 Aana,13 Feet / Gravelled,4 Aana,4 years ago,"NPR. 2,78,00,000 Onwards",Kathmandu,Mandikatar
6,3,2.5,2,South,2069.0,0-5-2-0 Aana,15 Feet / Gravelled,900 Aana,2 years ago,"NPR. 3,25,00,000",Kathmandu,Basundhara
5,6,2.0,3,West,,0-5-0-0 Aana,13 Feet / Gravelled,1711.476 Sq. Feet,1 week ago,"NPR. 4,30,00,000 Onwards",Kathmandu,Budhanilkantha
2,1,1.0,1,West,2076.0,0-3-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price",Lalitpur,Imadol
10,0,3.0,3,West,,6 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 2,98,00,000",Kathmandu,Budhanilkantha
10,6,5.0,4,West,,4.2 Aana,10 Feet,N/A Aana,4 years ago,"NPR. 3,00,00,000 Onwards",Kathmandu,Gongabu
5,3,3.0,0,East,,4.3 Aana,12 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,60,00,000",Kathmandu,Basundhara
0,0,3.0,3,East,,9 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 6,00,00,000",Kathmandu,Tokha
10,3,3.0,2,South,2076.0,0-4-1-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,75,00,000",Kathmandu,Budhanilkantha
3,4,,1,North,2018.0,3.5 Aana,0 Feet,3 Aana,4 years ago,"NPR. 2,70,00,000",Kathmandu,Tahachal
8,0,3.0,0,West,,0-2-2-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,40,00,000 Total price",Kathmandu,Gothatar
6,3,3.5,1,South,2077.0,0-3-0-1 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,90,00,000 Total price",Kathmandu,Kadaghari
4,5,2.5,1,South West,2076.0,0-4-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,10,00,000 Total price",Lalitpur,Imadol
10,0,3.0,0,East,,5.1 Aana,14 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,18,00,000",Kathmandu,Sukedhara
5,4,2.0,3,East,2078.0,0-8-1-0 Aana,13 Feet / Paved,0 Aana,1 month ago,"NPR. 7,00,00,000 Total Price",Kathmandu,Baneshwor
0,0,,0,East,,0-3-2-0 Aana,20 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,20,00,000 Total price",Bhaktapur,Radhe Radhe
0,0,,0,North,,6 Dhur,6 Meter / Gravelled,N/A Dhur,4 years ago,"NPR. 50,00,000 Total price",Chitwan,Bharatpur
4,4,2.5,0,North West,,4.2 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,55,00,000 Total price",Lalitpur,Nakkhu
4,5,2.5,2,South West,2080.0,0-7-0-2 Aana,20 Feet / Blacktopped,58300000 Sq. Feet,2 months ago,"NPR. 5,83,00,000",Kathmandu,Budhanilkantha
5,4,3.0,2,South East,2076.0,0-5-1-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,20,00,000",Kathmandu,Budhanilkantha
6,0,,1,North East,2018.0,4 Aana,16 Feet / Gravelled,2250 Aana,4 years ago,"NPR. 2,50,00,000",Kathmandu,Banasthali
4,4,3.0,4,North East,2009.0,18 Aana,13 Feet / Paved,12 Aana,4 years ago,"NPR. 11,50,00,000",Kathmandu,Basbari
0,0,,0,East,,9 Aana,16 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 4,95,00,000 Total price",Lalitpur,Hattiban
7,4,2.0,1,South East,2076.0,0-7-0-0 Aana,10 Feet / Concrete,1000 Aana,4 years ago,"NPR. 5,00,00,000 Total price",Kathmandu,Mid Baneshwor
6,4,2.5,1,West,,0-3-1-2 Aana,13 Feet / Gravelled,N/A Sq. Feet,2 weeks ago,"NPR. 2,50,00,000 Total Price",Kathmandu,Sitapaila
4,4,2.5,1,East,,0-4-0-2 Aana,20 Feet / Blacktopped,N/A Aana,1 week ago,"NPR. 3,90,00,000 Total price",Kathmandu,Budhanilkantha
0,0,3.0,0,East,,3.5 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 2,65,00,000",Kathmandu,Basundhara
9,6,5.5,31,North,2075.0,0-14-2-0 Aana,20 Feet / Blacktopped,24000 Aana,4 years ago,"NPR. 15,50,00,000 Total price",Kathmandu,Thulo Bharyang
0,0,,0,South,,6 Aana,12 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,20,00,000 Total price",Kathmandu,Baneshwor
6,6,4.0,2,South,2075.0,6 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 4,25,00,000",Kathmandu,Basundhara
5,3,2.5,1,East,2076.0,0-3-1-0 Aana,20 Feet / Gravelled,1900 Aana,4 years ago,"NPR. 1,95,00,000 Total price",Lalitpur,Imadol
0,0,,0,South,,4 Aana,15 Feet,N/A Aana,4 years ago,"NPR. 2,00,00,000 Total price",Kathmandu,Jorpati
5,5,4.0,0,East,2013.0,0-3-2-1 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,70,00,000",Lalitpur,Lubhu
4,3,2.5,1,East,,0-4-0-0 Aana,16 Feet / Gravelled,N/A Aana,10 months ago,"NPR. 3,95,00,000 Total Price (Onwards)",Kathmandu,Budhanilkantha
4,4,2.5,1,North East,2077.0,0-3-2-0 Sq. Feet,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 2,14,00,000 Total price",Lalitpur,Imadol
2,1,1.5,1,South,2076.0,0-3-1-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price",Lalitpur,Imadol
6,4,3.0,1,South,2019.0,0-4-2-3 Aana,12 Feet / Gravelled,2548 Aana,4 years ago,"NPR. 2,50,00,000 Onwards",Kathmandu,Kirtipur
18,0,4.0,0,North,,0-4-1-0 Aana,32 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,90,00,000 Total price",Kathmandu,Kapan
5,3,3.0,0,West,,0-3-1-2 Aana,22 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,70,00,000",Lalitpur,Ekantakuna
6,3,,1,West,,0-3-2-0 Aana,16 Feet / Concrete,N/A Aana,8 months ago,"NPR. 2,60,00,000 Total Price",Kathmandu,Ramkot
0,0,2.0,0,East,,21 Dhur,15 Feet / Gravelled,N/A Dhur,4 years ago,"NPR. 1,90,00,000 Total price",Jhapa,Damak
