Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Nearby Green Hill City, Imadol, Lalitpur",5,4,2.5,2,East,2077,0-3-0-0 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,95,00,000 Total price"
"Aakasedhara, kapan, Kapan, Kathmandu",6,3,2.5,1,West,2080,0-4-2-0 Aana,12 Feet / Concrete,N/A Sq. Feet,5 days ago,"NPR. 3,85,00,000"
"Mandikhatar, Kapan, Kathmandu",5,4,2.5,1,East,2080,0-3-2-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,95,00,000"
"Alakhiya math main road, Birgunj, Parsa",24,22,4,3,East,,43 Dhur,30 Feet / Blacktopped,16000 Dhur,4 years ago,"NPR. 45,00,000 Per Dhur"
"Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",5,3,3,1,East,,4 Aana,13 Feet,4 Aana,4 years ago,"NPR. 2,25,00,000 Onwards"
"Kausaltar, Kausaltar, Bhaktapur",5,4,3,0,East,,0-7-2-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,00,00,000"
"Basundhara, Basundhara, Kathmandu",11,0,3,0,South,,6 Aana,14 Feet,N/A Ropani,4 years ago,"NPR. 4,50,00,000"
"Purano Gujyeswori, Balaju, Goldhunga, Kathmandu",0,0,4,0,North East,2073,0-3-0-0 Aana,10 Feet / Paved,1018 Aana,4 years ago,"NPR. 1,80,00,000 20 lakh per aana"
"Budhanilkantha,Mahakal, Budhanilkantha, Kathmandu",0,3,3,4,East,2080,4.1 aana Aana,20 Feet / Blacktopped,4.1 Aana,3 weeks ago,"NPR. 4,25,00,000"
"Suryadarshan Height, Tokha, Baniyatar, Kathmandu",4,4,2.5,1,East,,0-4-1-0 Aana,16 Feet / Blacktopped,2600 Aana,1 year ago,"NPR. 3,50,00,000 Onwards"
"Inside Ganesh Chowk, Budhanilkantha, Kathmandu",4,3,3,1,South,,0-4-0-0 Aana,16 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 3,80,00,000 Total Price"
"Ravi Bhawan, Kathmandu, Ravi Bhawan, Kathmandu",5,6,2.5,1,West,,0-3-2-0 Aana,32 Feet / Blacktopped,2810 Sq. Feet,4 weeks ago,"NPR. 5,00,00,000 Total Price"
"Ganesh Chowk, Budhanilkantha, Kathmandu",7,5,2,3,East,,0-4-3-0 Aana,14 Feet / Gravelled,1625.902 Aana,1 week ago,"NPR. 4,60,00,000 Onwards"
"Hepali height, Basbari, Kathmandu",4,0,,2,South,2018,7-0-2 Aana,20 Feet / Paved,N/A Aana,4 years ago,"NPR. 4,50,00,000 Onwards"
"Near Ranibari, Samakhusi, Kathmandu",11,0,4,2,North,2001,5 ana Aana,13 Feet / Blacktopped,4ana Aana,4 years ago,"NPR. 3,00,00,000"
"NA, Budhanilkantha, Kathmandu",3,4,3,1,East,2015,0.3.3.3 Aana,20 Feet / Blacktopped,18000 Aana,4 years ago,"NPR. 3,30,00,000 Onwards"
"Bhimsengola, Bhimsengola, Baneshwor, Kathmandu",6,5,3,3,East,2076,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,87,00,000 Total price"
"Thathali, Changunarayan, Bhaktapur",0,0,,0,South,,4 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,05,00,000 Total price"
"Inside laurae tole... Opposite of Hyatt Hotel..., Chabahil, Kathmandu",0,0,4,0,East,,9 Aana,0 Feet,N/A Aana,3 years ago,"NPR. 5,75,00,000"
"Soltimode, Soltimode, Kathmandu",4,4,3,3,East,,0-3-2-0 Aana,0 Feet,1198.033 Sq. Feet,1 week ago,"NPR. 4,10,00,000 Onwards"
"Near Sitapaila Chowk, Sitapaila, Kathmandu",3,3,3,1,South,,0-2-2-0 Sq. Feet,10 Feet / Gravelled,N/A Sq. Feet,8 months ago,"NPR. 2,25,00,000 Total Price"
"Khumaltar, Khumaltar, Lalitpur",6,5,4,0,South West,,0-6-1-0 Sq. Feet,13 Feet,N/A Sq. Feet,4 years ago,"NPR. 3,75,00,000"
"Lolang, Tarkeshwor, Kathmandu",4,0,,0,South,,2.5 Aana,10 Feet,N/A Aana,4 years ago,"NPR. 85,00,000 Total price"
"Itahari, Itahari, Sunsari",0,0,,0,North,,9 Dhur,20 Feet / Blacktopped,N/A Dhur,4 years ago,"NPR. 1,50,00,000 Total price"
"Buddhanagar, Baneshwor, Kathmandu",0,0,3,0,West,,5 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 5,25,00,000"
"RAMKOT, Sitapaila, Kathmandu",3,3,2.5,2,West,2074,0-4-0-0 Aana,20 Feet / Blacktopped,1744.78 Sq. Feet,2 months ago,"NPR. 3,46,50,000"
"New Colony, Ganesh Chowk, Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",6,5,3,2,North,2078,0-4-0-0 Aana,13 Feet / Gravelled,2400 Sq. Feet,2 years ago,"NPR. 3,75,00,000 Total price"
"RAMKOT, Sitapaila, Kathmandu",4,4,2.5,2,West,2074,0-3-2-0 Aana,20 Feet / Blacktopped,1740.76 Aana,2 months ago,"NPR. 3,46,50,000"
"Hepali, Golfutar, Kathmandu",5,0,3,0,North East,,4.1.1 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,85,00,000"
"Shital Height, Imadol, Lalitpur",5,5,3,2,South,,0-3-0-3 Aana,13 Feet / Paved,1091.147 Sq. Feet,2 days ago,"NPR. 3,15,00,000"
"Pasikot, Pasikot, Kathmandu",0,0,3,0,West,,4 Aana,16 Feet,N/A Aana,4 years ago,"NPR. 1,75,00,000"
"Saraswotinagar, Kapan, Kathmandu",6,4,3,1,South West,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,1 month ago,"NPR. 3,70,00,000 Total Price"
"Tikathali, Tikathali, Lalitpur",6,3,3,1,East,2076,0-3-2-0 Ropani,12 Feet / Blacktopped,2100 Ropani,4 years ago,"NPR. 2,25,00,000"
"akatabasti, Kapan, Kathmandu",0,0,,0,East,,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,82,00,000 Total price"
"Opposite of Green Hill City, Imadol, Lalitpur",5,3,2.5,1,West,2077,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,00,00,000 Total price"
"Lamatra, Lamatar, Lalitpur",0,0,,0,West,,8 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,50,00,000 Total price"
"bharattpur-2 aaptari  near  samata school, Bharatpur, Chitwan",11,6,3,3,North,2019,10 Dhur,20 Feet / Blacktopped,10 Dhur,4 years ago,"NPR. 2,30,00,000 Onwards"
"Nearby, Buddha party palace, Imadol, Lalitpur",4,3,2.5,1,South,2076,0-3-0-0 Aana,13 Feet / Gravelled,650 Aana,4 years ago,"NPR. 1,90,00,000 Total price"
"Bishnu Devi Village Colony, Tinthana, Kathmandu",5,3,2.5,1,East,2076,0-3-0-0 Aana,13 Feet / Blacktopped,2000 Aana,4 years ago,"NPR. 1,60,00,000"
"Kapan, Kapan, Kathmandu",4,4,3,2,West,2014,3.2 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 1,50,00,000"
"Mandikatar Height, Mandikatar, Kathmandu",0,0,3,0,South,,8 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 5,10,00,000"
"Nearby Valley Top Driving Center, Sankhamul, Kathmandu",7,3,2.5,2,West,2076,0-3-2-2 Aana,12 Feet / Paved,3600 Aana,4 years ago,"NPR. 3,50,00,000 Total price"
"Chhauni, Kathmandu, Chhauni, Kathmandu",5,4,2.5,0,East,2080,0-4-3-0 Aana,10 Feet / Gravelled,N/A Aana,2 weeks ago,"NPR. 5,50,00,000 Total Price"
"Sanogaun, Imadol, Lalitpur",3,9,3,0,North East,2076,0-2-3-0 Aana,10 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,35,00,000 Total price"
"Dharma Chakra Marg, Bagbazar, Kathmandu, Baghbazaar, Kathmandu",9,7,5,0,North,,0-3-1-1 Aana,10 Feet / Blacktopped,N/A Aana,2 years ago,"NPR. 3,50,00,000 Total price"
"Birendra Chowk, Kadaghari, Kathmandu",6,4,3.5,3,South East,,3.2 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 3,60,00,000"
"Panauti, Panauti, Kavre",7,3,3,0,East,,3 Aana,24 Feet,2200 Aana,4 years ago,"NPR. 90,00,000"
"Thulobharyang, Thulo Bharyang, Kathmandu",5,2,3,0,West,,3.5 Aana,12 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,27,00,000"
"Dhading Mankamana tol, Dhading, Dhading",0,0,2,0,North,,5 Aana,15 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 95,00,000 Total price"
"Sundarbasti, Kapan, Budhanilkantha, Kathmandu",6,5,4,3,North East,2079,0-5-0-0 Aana,13 Feet / Blacktopped,2800 Sq. Feet,1 year ago,"NPR. 4,35,00,000 Total price"
"Sital Height, Imadol, Imadol, Lalitpur",4,4,3,2,East,2078,0-3-2-0 Aana,13 Feet / Soil Stabilized,1800 Aana,2 years ago,"NPR. 2,25,00,000 Total price"
"Shantichow, Nakhipot, Lalitpur",6,5,3,3,West,2019,0-8-3-3-1 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 5,75,00,000"
"Ganeshchowk, Budhanilkantha, Budhanilkantha, Kathmandu",4,4,2.5,1,East,,0-4-0-2 Aana,20 Feet / Blacktopped,N/A Aana,1 week ago,"NPR. 3,90,00,000 Total Price"
"Nearby Department of Transport Management Sanobharyang, Sanobharyang, Kathmandu",5,4,2.5,5,South,,0-15-0-0 Aana,20 Feet / Blacktopped,N/A Aana,9 months ago,"NPR. 11,50,00,000 Total Price"
"Nearby Kaski Modernize School, Pokhara, Pokhara",0,0,2,0,South East,,4.5 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 2,70,00,000"
"Harisiddhi, Harisiddhi, Lalitpur",0,0,2,0,East,,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price"
"Lambagar, Tarkeshwor, Kathmandu",6,3,3,3,South,,4 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,65,00,000"
"Naikap, Naikap, Kathmandu",8,0,,0,West,,0-3-2-0 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,85,00,000"
"Opposite of Green Hill City, Imadol, Lalitpur",5,3,2.5,1,West,2077,0-3-1-0 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 2,50,00,000 Total price"
"Mahadevsthan, Koteshwor, Kathmandu, Koteshwor, Kathmandu",5,3,3,2,North,2066,0-3-1-2 Aana,26 Feet / Blacktopped,1842.62 Aana,2 years ago,"NPR. 2,95,00,000"
"Panchakumari Marg, 10, Kapan, Kathmandu",0,0,3,0,West,,2.5 Aana,12 Feet,67.30 Aana,3 years ago,"NPR. 1,10,00,000 Onwards"
"Dhumbarahi, Dhumbarahi, Kathmandu",12,0,4,4,East,,7 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 4,00,00,000"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,2,South East,2080,0-8-1-1 Aana,20 Feet / Blacktopped,3246 Sq. Feet,2 months ago,"NPR. 6,43,00,000"
"Chundevi, Chundevi, Kathmandu",8,3,4,1,South West,,4 Aana,14 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,10,00,000"
"House, Mandikatar, Kathmandu",6,3,3,2,East,2019,5 Aana,13 Feet / Gravelled,4 Aana,4 years ago,"NPR. 2,78,00,000 Onwards"
"Basundhara, Basundhara, Kathmandu",6,3,2.5,2,South,2069,0-5-2-0 Aana,15 Feet / Gravelled,900 Aana,2 years ago,"NPR. 3,25,00,000"
"Ganesh Chowk, Budhanilkantha, Kathmandu",5,6,2,3,West,,0-5-0-0 Aana,13 Feet / Gravelled,1711.476 Sq. Feet,1 week ago,"NPR. 4,30,00,000 Onwards"
"Nearby Cozy Homes, Imadol, Lalitpur",2,1,1,1,West,2076,0-3-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,25,00,000 Total price"
"Nearby Hattigauda, Budhanilkantha, Kathmandu",10,0,3,3,West,,6 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 2,98,00,000"
"Gongabu, Gongabu, Kathmandu",10,6,5,4,West,,4.2 Aana,10 Feet,N/A Aana,4 years ago,"NPR. 3,00,00,000 Onwards"
"Basundhara, Basundhara, Kathmandu",5,3,3,0,East,,4.3 Aana,12 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,60,00,000"
"Mahadevtar, Tokha, Kathmandu",0,0,3,3,East,,9 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 6,00,00,000"
"Jyotinagar, Budhanilkantha, Kathmandu",10,3,3,2,South,2076,0-4-1-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,75,00,000"
"Tahachal, Tahachal, Kathmandu",3,4,,1,North,2018,3.5 Aana,0 Feet,3 Aana,4 years ago,"NPR. 2,70,00,000"
"Mantar Chowk, Gothatar, Kathmandu",8,0,3,0,West,,0-2-2-0 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,40,00,000 Total price"
"Nearby Suncity Apartment, Kadaghari, Kathmandu",6,3,3.5,1,South,2077,0-3-0-1 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,90,00,000 Total price"
"Nayabasti, Imadol, Lalitpur",4,5,2.5,1,South West,2076,0-4-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,10,00,000 Total price"
"Sukedhara, Sukedhara, Kathmandu",10,0,3,0,East,,5.1 Aana,14 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,18,00,000"
"Baneshwor,Buddhanagar, Baneshwor, Kathmandu",5,4,2,3,East,2078,0-8-1-0 Aana,13 Feet / Paved,0 Aana,1 month ago,"NPR. 7,00,00,000 Total Price"
