Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
7,5,2.0,2,South East,2080.0,1475.95,1 week ago,41500000,Lalitpur,Nakhipot,16,
12,3,3.0,0,East,,1369.0,3 years ago,28500000,Bhaktapur,Suryabinayak,13,Blacktopped
3,4,3.0,1,South West,2079.0,1475.95,3 months ago,35000000,Kathmandu,Thali,20,Gravelled
4,4,2.0,4,South East,,1882.37,1 day ago,55000000,Kathmandu,Chundevi,12,Blacktopped
5,3,3.0,1,North East,2076.0,1369.0,2 years ago,20000000,Bhaktapur,Duwakot,33,Blacktopped
0,0,,0,East,,1026.75,2 years ago,1800000,Bhaktapur,Bhaktapur,0,
4,2,3.0,2,West,2077.0,1711.25,1 year ago,27500000,Lalitpur,Lubhu,13,Gravelled
4,4,2.5,1,East,,1625.68,6 months ago,52000000,Kathmandu,Baluwatar,14,Blacktopped
2,1,1.5,1,East,2077.0,1026.75,3 years ago,12500000,Lalitpur,Imadol,13,Gravelled
4,3,3.0,2,North West,2048.0,4107.0,2 years ago,95000000,Lalitpur,Jawalakhel,26,Blacktopped
5,3,3.0,3,North East,2075.0,2224.62,2 years ago,36500000,Kathmandu,Hattigauda,13,Paved
6,5,3.0,2,East,2080.0,1369.0,3 months ago,33500000,Kathmandu,Kapan,14,Paved
4,3,,1,West,2075.0,1112.31,3 months ago,27500000,Kathmandu,Sitapaila,16,Blacktopped
4,4,3.0,1,East,2078.0,1026.75,2 years ago,21000000,Lalitpur,Imadol,13,Soil Stabilized
5,4,2.5,1,North East,2080.0,1454.56,3 months ago,58000000,Kathmandu,Thulo Bharyang,16,Concrete
7,5,3.0,1,South,2080.0,1369.0,2 months ago,41500000,Lalitpur,Imadol,13,Concrete
3,3,2.0,2,South West,2075.0,1711.25,2 years ago,24500000,Bhaktapur,Sirutar,13,Paved
0,0,,0,West,,1369.0,2 years ago,21500000,Bhaktapur,Balkot,13,
4,3,2.5,1,South West,2070.0,1197.87,3 months ago,28500000,Kathmandu,Swayambhu,13,Concrete
6,5,2.0,0,West,,2909.12,1 day ago,78500000,Kathmandu,Budhanilkantha,16,Blacktopped
5,3,2.5,1,South,2080.0,1561.51,2 months ago,39000000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,1369.0,3 years ago,14500000,Bhaktapur,Bhaktapur,10,
5,4,2.0,4,West,,2759.39,2 weeks ago,29000000,Lalitpur,Imadol,13,Paved
5,5,2.5,3,North,,2053.5,1 year ago,45000000,Lalitpur,Hattiban,16,Blacktopped
5,5,2.0,7,South East,,6673.87,1 day ago,152500000,Kathmandu,Naxal,18,Blacktopped
3,4,3.0,6,North,,1925.15,1 week ago,53000000,Bhaktapur,Balkot,24,Blacktopped
4,4,2.5,1,East,,1026.75,8 months ago,24500000,Lalitpur,Imadol,13,Soil Stabilized
2,1,1.0,1,West,2080.0,983.96,1 week ago,16000000,Lalitpur,Tikathali,13,Paved
10,3,3.0,2,East,2077.0,1283.43,2 years ago,21000000,Bhaktapur,Changunarayan,10,Gravelled
6,4,2.5,1,West,2077.0,1112.31,2 months ago,27000000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,941.18,2 years ago,16500000,Bhaktapur,Suryabinayak,16,
0,0,,0,North West,,1540.12,2 years ago,19000000,Bhaktapur,Bhaktapur,0,
4,3,2.5,2,North East,,1369.0,6 months ago,60000000,Kathmandu,Tahachal,20,Blacktopped
4,4,,4,South East,,3080.25,3 months ago,87500000,Lalitpur,Bhaisepati,16,
7,3,2.5,1,West,,1540.12,3 months ago,30000000,Kathmandu,Sitapaila,16,Blacktopped
4,4,3.0,2,East,2078.0,1048.14,2 years ago,24500000,Lalitpur,Imadol,13,Gravelled
5,4,,1,South,,1090.92,2 months ago,26500000,Lalitpur,Tikathali,11,
9,9,4.5,3,East,,3422.5,8 months ago,70000000,Lalitpur,Satdobato,13,Blacktopped
4,3,2.5,1,South,2080.0,1369.0,1 month ago,26000000,Lalitpur,Dhapakhel,18,Gravelled
5,3,2.5,1,West,2080.0,2246.01,2 months ago,49200000,Lalitpur,Sunakothi,20,Blacktopped
4,4,3.0,1,West,2078.0,1369.0,2 months ago,45000000,Kathmandu,Budhanilkantha,20,Blacktopped
6,3,,2,South,,1497.34,2 years ago,18500000,Kathmandu,Tarkeshwor,10,Paved
6,5,3.0,2,North,2078.0,1369.0,2 years ago,33500000,Kathmandu,Budhanilkantha,13,Gravelled
4,5,2.5,2,South West,2080.0,2823.56,2 months ago,67700000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,South,,855.62,4 years ago,15000000,Lalitpur,Imadol,13,Gravelled
7,2,3.0,0,South,,1326.21,4 years ago,22500000,Lalitpur,Imadol,13,Gravelled
11,5,3.5,2,South,2052.0,1369.0,3 years ago,28500000,Kathmandu,Baneshwor,20,Blacktopped
7,5,2.5,3,South East,,3593.62,4 months ago,80000000,Kathmandu,Budhanilkantha,23,Concrete
2,1,1.0,0,East,,1347.6,4 years ago,13000000,Lalitpur,Imadol,13,Gravelled
7,3,2.5,1,North,2066.0,1711.25,4 years ago,39000000,Kathmandu,Baluwatar,10,Blacktopped
2,1,1.0,3,East,,1197.87,2 days ago,17000000,Lalitpur,Tikathali,13,Blacktopped
6,3,3.0,2,East,2069.0,1026.75,3 years ago,19000000,Kathmandu,Boudha,8,Blacktopped
6,3,2.5,1,West,2080.0,1026.75,1 day ago,26000000,Lalitpur,Tikathali,13,Concrete
5,4,3.0,3,South,2078.0,1197.87,2 years ago,32500000,Kathmandu,Thulo Bharyang,13,Paved
8,3,,0,South,,1026.75,4 years ago,17000000,Lalitpur,Tikathali,13,Blacktopped
0,0,,0,East,,898.4,4 years ago,8500000,Bhaktapur,Madhyapur Thimi,26,Soil Stabilized
5,5,3.0,1,South East,2080.0,1540.12,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
0,0,3.5,0,North,2065.0,2224.62,4 years ago,150000000,Kathmandu,Naxal,20,
5,5,3.0,1,North East,2080.0,1411.78,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
4,3,3.0,0,South,,855.62,4 years ago,15000000,Lalitpur,Imadol,13,Gravelled
2,1,2.0,1,East,2073.0,1112.31,2 years ago,18000000,Kathmandu,Gothatar,13,Blacktopped
4,4,3.0,1,East,2078.0,1026.75,2 years ago,21500000,Lalitpur,Imadol,13,Gravelled
5,5,2.5,1,North,2077.0,1711.25,3 years ago,46000000,Kathmandu,Budhanilkantha,14,Concrete
4,5,2.5,2,South West,2080.0,2909.12,2 months ago,65600000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,North,,1454.55,4 years ago,19500000,Kathmandu,Basundhara,13,Blacktopped
