Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,North,,1369.0,48,27500000,Kathmandu,Sukedhara,13,Gravelled
0,0,3.0,0,South,,1026.75,48,18000000,Kathmandu,Hattigauda,13,
0,0,,0,West,,1711.25,48,20500000,Kathmandu,Sitapaila,20,Blacktopped
0,0,,0,North,,2738.0,48,38000000,Kathmandu,Chabahil,14,Blacktopped
0,4,3.0,2,South East,2069.0,14032.25,1,38000000,Kathmandu,Boudha,13,Gravelled
0,3,2.0,4,East,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,13,Gravelled
0,3,3.0,4,East,2080.0,14032.25,1,42500000,Kathmandu,Budhanilkantha,20,Blacktopped
0,4,3.0,2,South,2080.0,1369.0,1,33500000,Lalitpur,Imadol,13,Gravelled
0,4,2.0,2,South East,2080.0,1369.0,1,31500000,Lalitpur,Satdobato,0,
0,4,3.0,2,North,2079.0,1026.75,1,30000000,Lalitpur,Imadol,20,Gravelled
0,0,3.0,1,West,2080.0,1711.25,1,47000000,Lalitpur,Imadol,0,
0,4,2.0,1,South,2080.0,1369.0,2,42500000,Lalitpur,Hattiban,13,
0,0,3.0,1,North East,2079.0,1369.0,2,31000000,Lalitpur,Dhapakhel,20,Paved
0,4,2.0,2,East,2080.0,1026.75,1,16500000,Lalitpur,Lubhu,18,Gravelled
0,0,,0,North,,3422.5,48,25000000,Kathmandu,Goldhunga,15,
0,0,3.0,0,East,,2738.0,48,55000000,Kathmandu,Samakhusi,13,
