Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,3,3.0,4,North East,,5818.25,5819.018 Sq. Feet,2 weeks ago,140000000,Lalitpur,Bhaisepati,20,Blacktopped
2,3,3.0,1,North East,2073.0,1347.6000000000001,2300 Aana,2 years ago,27000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,West,,2053.5,N/A Sq. Feet,3 years ago,11000000,Bhaktapur,Bhaktapur,18,Gravelled
0,0,,0,West,,1026.75,N/A Sq. Feet,3 years ago,14000000,Bhaktapur,Kharipati,20,Gravelled
4,4,2.0,3,North,,855.62,855.738 Sq. Feet,4 days ago,22000000,Lalitpur,Imadol,13,Paved
0,0,,0,West,,1197.87,N/A Sq. Feet,3 years ago,17500000,Bhaktapur,Suryabinayak,13,
7,4,,2,South East,,1882.37,3500 Sq. Feet,4 weeks ago,53500000,Lalitpur,Imadol,13,
6,4,2.5,3,West,2076.0,1369.0,N/A Aana,4 years ago,21500000,Lalitpur,Tikathali,20,Concrete
5,3,2.0,2,South East,2080.0,1026.75,000 Aana,3 months ago,21500000,Bhaktapur,Bhaktapur,13,Blacktopped
5,3,2.5,1,South,2080.0,1475.95,"1,949.35 Sq. Feet",2 months ago,36400000,Lalitpur,Sunakothi,20,Blacktopped
6,4,3.5,2,South East,,1711.25,N/A Aana,1 month ago,49000000,Lalitpur,Dhapakhel,16,Concrete
4,3,2.0,3,South,,1112.31,1112.459 Sq. Feet,1 week ago,26500000,Lalitpur,Imadol,12,Paved
4,2,2.5,3,South,,6845.0,N/A Aana,4 years ago,90000000,Lalitpur,Dhobighat,16,Blacktopped
5,4,3.0,4,South,,1069.53,1069.726 Sq. Feet,1 week ago,26500000,Lalitpur,Imadol,16,Gravelled
5,4,3.0,1,East,,1112.31,N/A Aana,1 week ago,32000000,Lalitpur,Imadol,13,Paved
5,3,2.0,4,East,,1369.0,1369.181 Sq. Feet,1 day ago,27000000,Kathmandu,Budhanilkantha,8,Gravelled
4,4,3.0,1,East,2078.0,1026.75,N/A Aana,2 years ago,21000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,South,,983.96,N/A Aana,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
0,0,,0,South,,941.1800000000001,N/A Aana,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
4,5,2.0,4,North,,2139.05,0-5-5-0 Aana,2 weeks ago,65000000,Lalitpur,Bhaisepati,13,Paved
4,3,2.0,0,East,2077.0,1026.75,95 Sq. Meter,10 months ago,17500000,Bhaktapur,Bageshwori,20,Soil Stabilized
6,3,3.0,1,East,2080.0,1219.26,N/A Aana,2 weeks ago,22500000,Lalitpur,Tikathali,13,Paved
4,4,2.5,1,West,2080.0,1026.75,N/A Aana,4 weeks ago,24000000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,East,2080.0,2032.1000000000001,"1,980.28 Aana",2 months ago,44800000,Lalitpur,Sunakothi,20,Blacktopped
2,1,1.35,1,North East,2076.0,1197.87,N/A Aana,4 years ago,13000000,Lalitpur,Imadol,10,Gravelled
5,3,2.5,1,East,2080.0,1647.0700000000002,"1,980.28 Sq. Feet",2 months ago,39000000,Lalitpur,Sunakothi,20,Blacktopped
0,0,2.5,0,East,,1026.75,N/A Sq. Feet,3 years ago,15000000,Bhaktapur,Duwakot,13,Blacktopped
7,4,3.0,2,North,,1540.12,820 Sq. Feet,1 year ago,31000000,Bhaktapur,Sipadol,20,
2,1,1.0,3,West,,898.4,898.579 Sq. Feet,1 week ago,14500000,Lalitpur,Imadol,13,Paved
5,3,3.0,1,South East,,1048.14,N/A Aana,2 years ago,18000000,Bhaktapur,Changunarayan,13,
0,0,,0,East,,1026.75,N/A Sq. Feet,3 years ago,17000000,Bhaktapur,Balkot,13,
4,4,2.5,1,South,,1026.75,1950 Sq. Feet,8 months ago,25500000,Lalitpur,Imadol,13,Paved
3,4,3.0,1,South,,941.1800000000001,N/A Aana,1 week ago,25000000,Lalitpur,Tikathali,13,Paved
5,6,3.0,4,South,,1283.43,1283.607 Sq. Feet,1 week ago,35000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,South,2080.0,3251.37,"4,782.29 Sq. Feet",2 months ago,83500000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,1369.0,N/A Sq. Feet,2 years ago,11500000,Bhaktapur,Sudal,10,
4,4,2.5,1,South,2080.0,941.1800000000001,N/A Sq. Feet,2 months ago,23700000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,1711.25,N/A Sq. Feet,2 years ago,28000000,Bhaktapur,Lokanthali,12,
0,0,,0,West,,1197.87,N/A Sq. Feet,2 years ago,7500000,Bhaktapur,Bhaktapur,20,
3,3,2.0,2,West,2080.0,1026.75,000 Aana,3 months ago,26500000,Lalitpur,Tikathali,13,Paved
5,4,,4,North,,2759.39,2759.782 Sq. Feet,2 weeks ago,33500000,Lalitpur,Imadol,13,Paved
5,4,,1,North,,1026.75,2400 Aana,2 months ago,32500000,Lalitpur,Imadol,20,
6,2,2.0,0,South,2068.0,941.1800000000001,1800 Sq. Feet,1 year ago,24500000,Kathmandu,Kapan,24,Blacktopped
8,4,4.0,1,West,,1369.0,N/A Aana,8 months ago,38000000,Lalitpur,Dhapakhel,20,Soil Stabilized
0,0,2.0,0,North,2015.0,1197.87,0-3-2-0 Aana,4 years ago,15500000,Kathmandu,Gothatar,13,Blacktopped
5,4,,1,East,,1155.09,2450 Sq. Feet,1 month ago,32000000,Lalitpur,Imadol,13,
5,4,3.0,1,South East,2080.0,1390.39,N/A Aana,1 week ago,33500000,Lalitpur,Mahalaxmisthan,13,Blacktopped
5,4,2.0,2,South West,,2395.75,2396.066 Sq. Feet,1 day ago,48000000,Kathmandu,Maharajgunj,13,Gravelled
0,0,,0,West,,1197.87,N/A Sq. Feet,2 years ago,9200000,Bhaktapur,Sudal,12,
0,5,3.0,1,South West,2079.0,1454.56,N/A Aana,1 week ago,33000000,Lalitpur,Imadol,10,Gravelled
0,0,2.5,0,East,,1026.75,N/A Sq. Feet,3 years ago,23000000,Bhaktapur,Sallaghari,20,Blacktopped
5,5,3.0,1,West,,1112.31,N/A Aana,1 week ago,39500000,Lalitpur,Harisiddhi,20,Blacktopped
4,4,3.0,2,West,,1369.0,N/A Aana,8 months ago,57000000,Lalitpur,Bhaisepati,35,Blacktopped
0,0,,0,North East,,2053.5,N/A Sq. Feet,3 years ago,5550000,Bhaktapur,Nagarkot,0,
0,0,,0,East,,1197.87,N/A Aana,3 years ago,18500000,Bhaktapur,Lokanthali,13,
6,2,3.0,2,North,2009.0,1197.87,0-2-3-0 Aana,3 months ago,19999999,Kathmandu,Dhumbarahi,8,Paved
3,4,2.5,1,East,2073.0,941.1800000000001,N/A Aana,2 months ago,25000000,Lalitpur,Imadol,13,Concrete
4,4,2.5,1,South East,2080.0,1112.31,N/A Sq. Feet,2 months ago,26500000,Lalitpur,Imadol,13,Concrete
0,0,,0,North,,1561.51,N/A Sq. Feet,3 years ago,39900000,Bhaktapur,Kamalbinayak,13,Blacktopped
6,3,3.0,1,East,2075.0,1197.87,2150 Aana,3 years ago,19500000,Bhaktapur,Sipadol,10,Gravelled
4,3,3.0,2,South,2071.0,1754.03,2390.65 Aana,4 years ago,39500000,Bhaktapur,Balkot,28,Blacktopped
5,4,3.0,1,South,2024.0,1112.31,N/A Aana,2 weeks ago,31500000,Lalitpur,Imadol,0,
7,4,3.5,1,North,2080.0,1026.75,N/A Sq. Feet,4 days ago,28000000,Lalitpur,Imadol,20,Concrete
7,5,4.0,2,South West,2079.0,1625.68,0-2-3-2} Aana,10 months ago,33000000,Bhaktapur,Dadikot,13,Gravelled
2,1,1.0,1,East,,1155.09,N/A Aana,1 week ago,16500000,Lalitpur,Tikathali,0,
4,4,3.0,3,North West,2020.0,1925.1499999999999,2200 Aana,3 years ago,36500000,Lalitpur,Kusunti,13,Blacktopped
3,2,2.5,0,North,2080.0,1411.78,N/A Aana,3 months ago,37500000,Kathmandu,Sanobharyang,20,Gravelled
4,3,2.5,1,East,2075.0,1197.87,2000 Aana,1 year ago,26000000,Lalitpur,Imadol,13,Gravelled
5,5,3.0,2,South,2078.0,3336.93,4200 Aana,2 years ago,79500000,Lalitpur,Thecho,13,Paved
6,3,3.0,2,East,2073.0,1711.25,2300 Aana,2 years ago,28000000,Lalitpur,Dhapakhel,13,Blacktopped
6,5,3.0,2,South,2080.0,1411.78,N/A Aana,2 weeks ago,33500000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,West,,855.62,2000 Aana,1 week ago,21000000,Lalitpur,Nakkhu,13,Blacktopped
5,4,2.5,2,East,2075.0,1048.14,2200 Aana,4 years ago,26000000,Lalitpur,Hattiban,20,Gravelled
0,0,,0,South,,1026.75,N/A Sq. Feet,2 years ago,8000000,Bhaktapur,Duwakot,13,
7,5,2.0,2,South East,2080.0,1475.95,2500 Aana,1 week ago,41500000,Lalitpur,Nakhipot,16,
12,3,3.0,0,East,,1369.0,N/A Sq. Feet,3 years ago,28500000,Bhaktapur,Suryabinayak,13,Blacktopped
3,4,3.0,1,South West,2022.0,1475.95,0-3-0-0 Aana,3 months ago,35000000,Kathmandu,Thali,20,Gravelled
4,4,2.0,4,South East,,1882.37,1882.624 Sq. Feet,1 day ago,55000000,Kathmandu,Chundevi,12,Blacktopped
5,3,3.0,1,North East,2076.0,1369.0,2200 Sq. Feet,2 years ago,20000000,Bhaktapur,Duwakot,33,Blacktopped
0,0,,0,East,,1026.75,N/A Sq. Feet,2 years ago,1800000,Bhaktapur,Bhaktapur,0,
4,2,3.0,2,West,2077.0,1711.25,2500 Sq. Feet,1 year ago,27500000,Lalitpur,Lubhu,13,Gravelled
4,4,2.5,1,East,,1625.68,N/A Sq. Feet,6 months ago,52000000,Kathmandu,Baluwatar,14,Blacktopped
2,1,1.5,1,East,2077.0,1026.75,N/A Aana,3 years ago,12500000,Lalitpur,Imadol,13,Gravelled
4,3,3.0,2,North West,2048.0,4107.0,2600 Aana,2 years ago,95000000,Lalitpur,Jawalakhel,26,Blacktopped
5,3,3.0,3,North East,2075.0,2224.62,N/A Aana,2 years ago,36500000,Kathmandu,Hattigauda,13,Paved
