Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,3,3.0,0,East,,4.3 Aana,N/A Aana,4 years ago,26000000,Kathmandu,Basundhara,12,Blacktopped
0,0,3.0,3,East,,9 Aana,N/A Aana,4 years ago,60000000,Kathmandu,Tokha,13,
3,4,,1,North,2018.0,3.5 Aana,3 Aana,4 years ago,27000000,Kathmandu,Tahachal,0,
10,0,3.0,0,East,,5.1 Aana,N/A Aana,4 years ago,31800000,Kathmandu,Sukedhara,14,Blacktopped
4,4,2.5,0,North West,,4.2 Aana,N/A Aana,4 years ago,25500000,Lalitpur,Nakkhu,14,Gravelled
6,0,,1,North East,2018.0,4 Aana,2250 Aana,4 years ago,25000000,Kathmandu,Banasthali,16,Gravelled
4,4,3.0,4,North East,2009.0,18 Aana,12 Aana,4 years ago,115000000,Kathmandu,Basbari,13,Paved
0,0,,0,East,,9 Aana,N/A Aana,4 years ago,49500000,Lalitpur,Hattiban,16,Blacktopped
0,0,3.0,0,East,,3.5 Aana,N/A Aana,4 years ago,26500000,Kathmandu,Basundhara,12,
0,0,,0,South,,6 Aana,N/A Aana,4 years ago,32000000,Kathmandu,Baneshwor,12,Blacktopped
6,6,4.0,2,South,2075.0,6 Aana,N/A Aana,4 years ago,42500000,Kathmandu,Basundhara,15,Blacktopped
0,0,,0,South,,4 Aana,N/A Aana,4 years ago,20000000,Kathmandu,Jorpati,15,
0,2,,0,East,,2-2 Aana,N/A Aana,4 years ago,13500000,Kathmandu,Bafal,12,
0,0,3.0,0,South,,4 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Jorpati,15,Blacktopped
6,2,3.0,1,East,2007.0,11 Aana,4 Aana,4 years ago,17500000,Kathmandu,Mulpani,20,Gravelled
6,3,3.0,3,West,,4 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Samakhusi,13,Blacktopped
4,3,,0,North West,,5.5 Aana,N/A Aana,4 years ago,32500000,Kathmandu,Basundhara,16,Gravelled
10,0,3.0,0,North,,5 Aana,N/A Aana,4 years ago,22000000,Kathmandu,Budhanilkantha,15,Blacktopped
0,0,4.0,0,South,,5.1 Aana,N/A Aana,4 years ago,60000000,Kathmandu,Balkhu,0,
42,0,,0,South,,7 Aana,N/A Aana,4 years ago,142500000,Kathmandu,Budhanilkantha,22,Blacktopped
2,1,1.0,2,West,2075.0,3.2 Aana,3.1 Aana,4 years ago,12800000,Kathmandu,Budhanilkantha,12,Gravelled
3,1,1.0,0,North,,3 Aana,N/A Aana,4 years ago,11000000,Lalitpur,Imadol,14,Gravelled
12,4,4.0,0,South East,,4 Aana,2610 Aana,4 years ago,22500000,Bhaktapur,Dadikot,20,
4,0,3.0,3,East,2022.0,3 aana Aana,0 Aana,1 week ago,29000000,Kathmandu,Kadaghari,12,Paved
5,4,3.0,4,South,,15 Aana,N/A Aana,4 years ago,52500000,Kathmandu,Sukedhara,13,Gravelled
0,0,2.5,0,North,,4 Aana,N/A Aana,4 years ago,42000000,Kathmandu,Sukedhara,20,Blacktopped
4,0,2.0,2,East,2077.0,7 Aana,0 Aana,1 month ago,75000000,Kathmandu,Budhanilkantha,20,Paved
5,6,2.0,3,North East,,7 Aana,N/A Aana,1 year ago,64000000,Kathmandu,Dhapasi,16,
5,0,3.0,0,South,,4 Aana,N/A Aana,4 years ago,34000000,Kathmandu,Baluwatar,15,Blacktopped
3,3,3.0,0,East,,3.5 Aana,N/A Sq. Feet,4 years ago,26000000,Kathmandu,Basundhara,12,
0,0,3.0,0,South,,4 Aana,N/A Aana,4 years ago,20500000,Lalitpur,Nakhipot,10,Gravelled
4,5,3.0,0,South,,10 Aana,3700 Aana,4 years ago,70000000,Kathmandu,Banasthali,12,
5,4,3.0,0,South,,5 Aana,N/A Aana,4 years ago,32000000,Kathmandu,Hattigauda,15,Gravelled
10,0,3.0,0,South,,4 Aana,N/A Aana,4 years ago,23000000,Kathmandu,Swayambhu,12,Blacktopped
0,3,2.0,1,North East,2072.0,3 aana 3 paisa Aana,0 Aana,1 month ago,29000000,Kathmandu,Kapan,13,Gravelled
5,3,2.5,0,South West,,4 Aana,N/A Aana,4 years ago,29000000,Kathmandu,Golfutar,15,Blacktopped
0,4,2.0,2,North,2080.0,5 Aana,5 Aana,3 weeks ago,47500000,Kathmandu,Budhanilkantha,0,Blacktopped
0,0,4.0,0,West,,3 Aana,N/A Aana,4 years ago,25000000,Kathmandu,Hadigaun,13,
0,0,1.0,0,East,,33 Aana,N/A Aana,4 years ago,11500000,Lalitpur,Harisiddhi,13,
6,5,3.0,3,South East,2074.0,8 Aana,5 Aana,4 years ago,43000000,Kathmandu,Tokha,12,Gravelled
7,5,3.0,8,East,2059.0,15 Aana,6 Aana,4 years ago,70000000,Kathmandu,Maharajgunj,12,Blacktopped
0,0,3.0,0,West,,4.1 Aana,N/A Aana,4 years ago,26000000,Kathmandu,Tokha,15,Blacktopped
0,0,,0,South East,,2 Aana,N/A Aana,4 years ago,15000000,Kathmandu,Chandol,20,
7,6,3.0,2,South,2075.0,5 Aana,2531 Sq. Feet,3 years ago,35000000,Kathmandu,Pasikot,12,Gravelled
0,0,3.0,0,East,,8.3 Aana,N/A Aana,4 years ago,66000000,Kathmandu,Budhanilkantha,40,Blacktopped
0,0,3.0,1,East,,2.5 Aana,N/A Aana,4 years ago,14000000,Kathmandu,Jorpati,10,
0,0,,0,West,,3 Aana,N/A Aana,4 years ago,14500000,Lalitpur,Sano Gaun,13,Gravelled
5,4,3.0,4,South West,,4 Aana,N/A Aana,4 years ago,37000000,Kathmandu,Chabahil,12,
9,4,5.0,0,East,,3 Aana,N/A Aana,4 years ago,39000000,Kathmandu,Jorpati,36,
8,0,3.0,0,North,,3 Aana,N/A Aana,4 years ago,15500000,Lalitpur,Harisiddhi,20,Gravelled
2,1,1.0,1,South,,3 Aana,3 Aana,4 years ago,10600000,Kathmandu,Kapan,10,
2,4,3.0,3,South,,5 Aana,N/A Aana,4 years ago,28000000,Kathmandu,Basbari,13,Gravelled
3,1,1.0,1,North East,2074.0,3 Aana,3 Aana,4 years ago,12500000,Kathmandu,Kadaghari,13,Gravelled
6,4,3.0,2,East,2019.0,3 Aana,2 Aana,4 years ago,18000000,Kathmandu,Golfutar,13,Gravelled
10,4,,0,East,,2.5 Aana,0 Aana,1 week ago,21000000,Kathmandu,Kadaghari,12,
0,0,4.0,0,North West,,7 Aana,N/A Aana,4 years ago,35000000,Pokhara,Fulbari,15,
6,3,2.0,2,North,2072.0,3 Aana,90.00 Aana,4 years ago,21000000,Kathmandu,Sukedhara,14,Blacktopped
18,6,,6,South,,6 Aana,N/A Aana,4 years ago,47000000,Kathmandu,Sukedhara,13,Blacktopped
6,0,,0,North,,4 Aana,N/A Aana,4 years ago,14000000,Kathmandu,Tokha,12,Soil Stabilized
2,2,2.0,1,West,2000.0,2.5 Aana,1900 Sq. Meter,1 month ago,15000000,Kathmandu,Samakhusi,4,Paved
11,0,3.0,0,East,,5 Aana,N/A Aana,4 years ago,33000000,Kathmandu,Sukedhara,15,
10,0,4.0,0,East,,3.5 Aana,N/A Aana,4 years ago,19500000,Bhaktapur,Kausaltar,20,Soil Stabilized
0,0,3.5,0,West,,7 Aana,N/A Aana,4 years ago,21500000,Bhaktapur,Changunarayan,15,Gravelled
0,0,,0,South East,,5 Aana,N/A Aana,4 years ago,25000000,Pokhara,Ram Bazar,20,Gravelled
4,4,2.0,3,South,,10 Aana,N/A Aana,4 years ago,39000000,Kathmandu,Budhanilkantha,13,
7,6,,2,South West,,6.5 Aana,3800 Aana,2 months ago,76000000,Kathmandu,Baluwatar,13,
6,3,3.0,4,South East,,6 Aana,N/A Aana,4 years ago,34000000,Kathmandu,Budhanilkantha,13,
0,0,,0,West,,3 Aana,N/A Aana,4 years ago,7000000,Kathmandu,Kavresthali,10,Soil Stabilized
6,3,3.0,0,North East,,6 Aana,N/A Aana,4 years ago,51500000,Kathmandu,Baluwatar,12,
0,0,2.0,3,East,2080.0,5 Aana,5 Aana,3 weeks ago,47500000,Kathmandu,Budhanilkantha,13,Blacktopped
0,3,2.0,4,East,2080.0,5 aana Aana,5 Aana,3 weeks ago,47500000,Kathmandu,Budhanilkantha,13,Gravelled
2,1,,0,West,,4 Aana,N/A Aana,4 years ago,13000000,Kathmandu,Tokha,15,Soil Stabilized
0,0,,0,South,,9 Aana,N/A Aana,4 years ago,49500000,Kathmandu,Budhanilkantha,15,Blacktopped
5,3,3.0,0,South,,3.5 Aana,N/A Aana,4 years ago,16500000,Lalitpur,Imadol,13,Blacktopped
6,5,,2,East,2023.0,4 Aana,2150 Sq. Feet,3 weeks ago,32500000,Kathmandu,Sitapaila,13,
0,0,3.0,0,South East,,6 Aana,N/A Aana,4 years ago,30000000,Kathmandu,Lazimpat,10,
0,0,,0,North,,4 Aana,N/A Aana,4 years ago,22500000,Kathmandu,Kadaghari,16,Blacktopped
0,0,3.0,0,East,,6 Aana,N/A Aana,4 years ago,30000000,Kathmandu,Basundhara,12,
0,0,4.0,0,East,,7 Aana,N/A Aana,4 years ago,33000000,Kathmandu,Boudha,20,
9,3,3.0,0,South West,,3 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Jorpati,10,Gravelled
5,5,2.5,2,South,2079.0,5.75 Aana,2600 Aana,1 year ago,49500000,Kathmandu,Budhanilkantha,15,Blacktopped
0,0,,0,South,,8 Aana,N/A Aana,4 years ago,45000000,Kathmandu,Budhanilkantha,15,Soil Stabilized
7,0,,0,South,,3 Aana,N/A Aana,4 years ago,15500000,Kathmandu,Balambu,12,Gravelled
11,0,2.0,0,West,,5 Aana,N/A Aana,4 years ago,22000000,Kathmandu,Kadaghari,15,Gravelled
0,4,3.0,2,South East,2069.0,4.1 aana Aana,0 Aana,1 month ago,38000000,Kathmandu,Boudha,13,Gravelled
2,1,1.0,1,West,2078.0,4 anna 2 paisa Aana,0 Aana,2 months ago,19500000,Kathmandu,Tarkeshwor,26,Gravelled
7,0,3.0,2,East,2019.0,4.5 Aana,3.5 Aana,4 years ago,27500000,Kathmandu,Ekatabasti,13,Blacktopped
